NODES_1;U1_1;U2_1;U3_1;R1_2;R2_2;R3_2;U1_2;U2_2;U3_2;R1_2;R2_2;R3_2;U1_3;U2_3;U3_3;R1_3;R2_3;R3_3;U1_4;U2_4;U3_4;R1_4;R2_4;R3_4;U1_5;U2_5;U3_5;R1_5;R2_5;R3_5
907;0,000129933;-0,001797584;2,64E-05;3,72E-05;-2,83E-08;-4,57E-06;0,000129933;-0,001797584;2,64E-05;3,72E-05;-2,83E-08;-4,57E-06;5,84E-05;-0,00017127;4,01E-05;-1,90E-06;-3,16E-06;-7,40E-07;0,000202542;-0,001988131;-7,79E-06;3,54E-05;1,74E-06;-5,34E-06;0,000398084;-0,003618323;3,68E-05;-6,79E-05;-7,23E-07;-1,27E-05
908;0,000127925;-0,001822139;2,32E-05;3,15E-05;-3,52E-06;-3,58E-06;0,000127925;-0,001822139;2,32E-05;3,15E-05;-3,52E-06;-3,58E-06;5,58E-05;-0,000169639;3,98E-05;-2,19E-06;-3,74E-06;-8,57E-07;0,000201856;-0,002011073;-1,15E-05;2,93E-05;-2,18E-06;-4,42E-06;0,000394132;-0,003563343;3,07E-05;-7,88E-05;-7,81E-06;-1,09E-05
909;0,00012478;-0,001842831;2,08E-05;2,74E-05;-1,17E-05;-5,20E-06;0,00012478;-0,001842831;2,08E-05;2,74E-05;-1,17E-05;-5,20E-06;5,24E-05;-0,000167798;3,95E-05;-2,49E-06;-4,78E-06;-7,93E-07;0,000199504;-0,002029841;-1,43E-05;2,48E-05;-1,12E-05;-6,07E-06;0,000387036;-0,003501744;2,60E-05;-8,71E-05;-2,43E-05;-1,32E-05
910;0,000110775;-0,001883155;1,83E-05;2,33E-05;-1,18E-05;-2,41E-05;0,000110775;-0,001883155;1,83E-05;2,33E-05;-1,18E-05;-2,41E-05;4,54E-05;-0,000162984;3,90E-05;-2,95E-06;-4,04E-06;-3,77E-06;0,000188054;-0,00206464;-1,76E-05;1,98E-05;-1,03E-05;-2,77E-05;0,000362313;-0,003341541;2,01E-05;-9,66E-05;-2,28E-05;-5,27E-05
911;0,000122049;-0,001214146;5,23E-05;8,26E-05;-2,38E-06;-4,99E-05;0,000122049;-0,001214146;5,23E-05;8,26E-05;-2,38E-06;-4,99E-05;6,41E-05;-0,000161291;3,44E-05;1,49E-06;-5,18E-07;-5,04E-06;0,000169306;-0,001389806;3,37E-05;8,47E-05;1,34E-06;-5,54E-05;0,000357507;-0,003332074;0,00011237;6,36E-05;5,09E-06;-0,000154325
912;0,000120712;-0,001054451;5,40E-05;8,51E-05;-8,49E-07;-4,47E-05;0,000120712;-0,001054451;5,40E-05;8,51E-05;-8,49E-07;-4,47E-05;6,51E-05;-0,0001577;3,51E-05;2,16E-06;-8,99E-07;-6,54E-06;0,000160471;-0,001225739;3,58E-05;8,75E-05;3,04E-06;-5,12E-05;0,000347451;-0,003208979;0,000117251;7,20E-05;-2,57E-07;-0,000150912
913;0,000122378;-0,001278864;5,05E-05;8,00E-05;-1,81E-06;-5,16E-05;0,000122378;-0,001278864;5,05E-05;8,00E-05;-1,81E-06;-5,16E-05;6,33E-05;-0,000162309;3,40E-05;1,13E-06;-1,33E-06;-5,08E-06;0,000172171;-0,001456012;3,17E-05;8,18E-05;1,09E-06;-5,72E-05;0,000360377;-0,003376689;0,000107082;5,45E-05;6,00E-06;-0,000153318
914;0,000122623;-0,001342007;4,83E-05;7,66E-05;-1,47E-06;-5,29E-05;0,000122623;-0,001342007;4,83E-05;7,66E-05;-1,47E-06;-5,29E-05;6,26E-05;-0,000163029;3,36E-05;7,30E-07;-1,57E-06;-5,43E-06;0,000175049;-0,001520385;2,91E-05;7,80E-05;1,16E-06;-5,89E-05;0,000363171;-0,003414322;0,000100131;4,22E-05;6,57E-06;-0,000151508
915;0,000122903;-0,001402125;4,56E-05;7,24E-05;-1,51E-06;-5,42E-05;0,000122903;-0,001402125;4,56E-05;7,24E-05;-1,51E-06;-5,42E-05;6,16E-05;-0,000163433;3,32E-05;3,30E-07;-1,62E-06;-5,65E-06;0,000177618;-0,001581424;2,61E-05;7,33E-05;1,00E-06;-6,04E-05;0,000365482;-0,003440776;9,21E-05;2,77E-05;6,11E-06;-0,000149203
916;0,00012289;-0,001458627;4,25E-05;6,74E-05;-1,83E-06;-5,53E-05;0,00012289;-0,001458627;4,25E-05;6,74E-05;-1,83E-06;-5,53E-05;6,05E-05;-0,000163529;3,29E-05;-6,29E-08;-1,65E-06;-5,80E-06;0,000179744;-0,001638524;2,26E-05;6,79E-05;6,13E-07;-6,17E-05;0,000366768;-0,003456293;8,33E-05;1,18E-05;4,80E-06;-0,000146599
917;0,000123007;-0,001510923;3,90E-05;6,16E-05;-2,29E-06;-5,68E-05;0,000123007;-0,001510923;3,90E-05;6,16E-05;-2,29E-06;-5,68E-05;5,92E-05;-0,000163325;3,25E-05;-4,46E-07;-1,70E-06;-5,80E-06;0,000181752;-0,001691082;1,87E-05;6,17E-05;7,40E-08;-6,32E-05;0,000367873;-0,003458606;7,43E-05;-4,67E-06;3,15E-06;-0,00014492
918;0,000123035;-0,001558384;3,50E-05;5,50E-05;-2,84E-06;-5,86E-05;0,000123035;-0,001558384;3,50E-05;5,50E-05;-2,84E-06;-5,86E-05;5,79E-05;-0,000162827;3,21E-05;-8,21E-07;-1,75E-06;-5,78E-06;0,000183599;-0,001738458;1,43E-05;5,46E-05;-5,23E-07;-6,50E-05;0,000368556;-0,003449601;6,54E-05;-2,10E-05;1,48E-06;-0,000144006
919;0,000122923;-0,001600346;3,06E-05;4,76E-05;-3,43E-06;-6,07E-05;0,000122923;-0,001600346;3,06E-05;4,76E-05;-3,43E-06;-6,07E-05;5,64E-05;-0,00016204;3,17E-05;-1,19E-06;-1,81E-06;-5,72E-06;0,000185214;-0,001779974;9,41E-06;4,67E-05;-1,15E-06;-6,70E-05;0,000368755;-0,003429306;5,64E-05;-3,74E-05;-9,92E-08;-0,000143751
920;0,000122974;-0,001634667;2,60E-05;3,97E-05;-4,00E-06;-6,33E-05;0,000122974;-0,001634667;2,60E-05;3,97E-05;-4,00E-06;-6,33E-05;5,47E-05;-0,00016097;3,14E-05;-1,56E-06;-1,87E-06;-5,52E-06;0,00018683;-0,001813456;4,31E-06;3,84E-05;-1,74E-06;-6,95E-05;0,000368837;-0,003396207;4,76E-05;-5,33E-05;-1,40E-06;-0,000144417
921;0,000122603;-0,001662437;2,14E-05;3,22E-05;-4,23E-06;-6,59E-05;0,000122603;-0,001662437;2,14E-05;3,22E-05;-4,23E-06;-6,59E-05;5,29E-05;-0,000159618;3,10E-05;-1,91E-06;-1,96E-06;-5,27E-06;0,000187934;-0,001839999;-6,57E-07;3,04E-05;-2,01E-06;-7,18E-05;0,000367974;-0,003352039;3,95E-05;-6,80E-05;-2,00E-06;-0,000144922
922;0,000122275;-0,001682606;1,75E-05;2,56E-05;-3,65E-06;-6,85E-05;0,000122275;-0,001682606;1,75E-05;2,56E-05;-3,65E-06;-6,85E-05;5,08E-05;-0,000157992;3,07E-05;-2,25E-06;-2,23E-06;-4,80E-06;0,000188847;-0,001858534;-5,04E-06;2,33E-05;-1,64E-06;-7,41E-05;0,000366565;-0,003296371;3,24E-05;-8,05E-05;-1,49E-06;-0,000144981
923;0,000121822;-0,001698142;1,46E-05;2,08E-05;-1,78E-06;-7,02E-05;0,000121822;-0,001698142;1,46E-05;2,08E-05;-1,78E-06;-7,02E-05;4,87E-05;-0,000156111;3,05E-05;-2,51E-06;-3,03E-06;-4,69E-06;0,000189691;-0,001872057;-8,40E-06;1,81E-05;-5,40E-07;-7,57E-05;0,000365077;-0,003232877;2,70E-05;-8,99E-05;-4,08E-07;-0,000144253
924;0,000120504;-0,001725479;1,24E-05;1,69E-05;2,66E-06;-6,80E-05;0,000120504;-0,001725479;1,24E-05;1,69E-05;2,66E-06;-6,80E-05;4,25E-05;-0,000150877;3,01E-05;-2,86E-06;-3,19E-06;-5,67E-06;0,000190704;-0,001893326;-1,13E-05;1,34E-05;4,31E-06;-7,49E-05;0,000358844;-0,003066379;2,18E-05;-9,87E-05;2,47E-06;-0,00013731
925;0,000114048;-0,00096838;4,98E-05;7,18E-05;-6,54E-06;-7,73E-05;0,000114048;-0,00096838;4,98E-05;7,18E-05;-6,54E-06;-7,73E-05;5,84E-05;-0,000124812;2,58E-05;3,23E-07;-1,45E-06;-1,43E-05;0,000158933;-0,001105758;4,08E-05;7,22E-05;-4,73E-06;-9,22E-05;0,000337468;-0,002652382;0,000113405;6,55E-05;-6,62E-06;-0,000246965
926;0,000117999;-0,000827618;5,17E-05;7,46E-05;-2,10E-07;-6,96E-05;0,000117999;-0,000827618;5,17E-05;7,46E-05;-2,10E-07;-6,96E-05;6,09E-05;-0,000124291;2,63E-05;6,92E-07;-1,77E-06;-1,37E-05;0,000158726;-0,000964734;4,27E-05;7,49E-05;2,15E-06;-8,35E-05;0,000348436;-0,002524611;0,00011874;7,46E-05;-3,05E-06;-0,000240738
927;0,000113658;-0,001024719;4,82E-05;6,92E-05;-5,20E-06;-8,08E-05;0,000113658;-0,001024719;4,82E-05;6,92E-05;-5,20E-06;-8,08E-05;5,75E-05;-0,000124992;2,56E-05;1,62E-07;-1,24E-06;-1,44E-05;0,000160296;-0,00116244;3,91E-05;6,96E-05;-3,12E-06;-9,59E-05;0,000336762;-0,002698202;0,000108537;5,67E-05;-2,37E-06;-0,00024873
928;0,0001135;-0,001079387;4,61E-05;6,57E-05;-4,54E-06;-8,40E-05;0,0001135;-0,001079387;4,61E-05;6,57E-05;-4,54E-06;-8,40E-05;5,66E-05;-0,000125036;2,53E-05;-9,38E-09;-1,19E-06;-1,44E-05;0,000161855;-0,001217402;3,68E-05;6,60E-05;-2,43E-06;-9,92E-05;0,000336663;-0,002737456;0,000102215;4,50E-05;-5,64E-07;-0,000249418
929;0,000113462;-0,001131022;4,36E-05;6,15E-05;-4,21E-06;-8,70E-05;0,000113462;-0,001131022;4,36E-05;6,15E-05;-4,21E-06;-8,70E-05;5,57E-05;-0,000124952;2,50E-05;-1,68E-07;-1,20E-06;-1,44E-05;0,000163578;-0,001269253;3,41E-05;6,17E-05;-2,14E-06;-0,000102267;0,000336987;-0,002766573;9,48E-05;3,11E-05;4,41E-07;-0,000249652
930;0,000113797;-0,001179015;4,07E-05;5,65E-05;-3,95E-06;-9,02E-05;0,000113797;-0,001179015;4,07E-05;5,65E-05;-3,95E-06;-9,02E-05;5,49E-05;-0,000124757;2,48E-05;-2,93E-07;-1,25E-06;-1,45E-05;0,000165645;-0,001317366;3,10E-05;5,66E-05;-1,96E-06;-0,000105522;0,000338239;-0,002784829;8,69E-05;1,58E-05;1,23E-06;-0,000250233
931;0,000114006;-0,001222768;3,74E-05;5,08E-05;-3,65E-06;-9,30E-05;0,000114006;-0,001222768;3,74E-05;5,08E-05;-3,65E-06;-9,30E-05;5,39E-05;-0,000124481;2,46E-05;-3,88E-07;-1,32E-06;-1,45E-05;0,00016746;-0,001361136;2,75E-05;5,08E-05;-1,73E-06;-0,000108443;0,00033896;-0,002790572;7,86E-05;-4,82E-08;1,93E-06;-0,000249786
932;0,000114221;-0,001261691;3,38E-05;4,44E-05;-3,23E-06;-9,57E-05;0,000114221;-0,001261691;3,38E-05;4,44E-05;-3,23E-06;-9,57E-05;5,27E-05;-0,000124141;2,44E-05;-4,61E-07;-1,41E-06;-1,44E-05;0,000169134;-0,001399961;2,36E-05;4,42E-05;-1,38E-06;-0,000111065;0,000339413;-0,002784891;7,04E-05;-1,59E-05;2,56E-06;-0,000248683
933;0,00011449;-0,001295181;2,97E-05;3,72E-05;-2,63E-06;-9,80E-05;0,00011449;-0,001295181;2,97E-05;3,72E-05;-2,63E-06;-9,80E-05;5,15E-05;-0,000123747;2,42E-05;-5,28E-07;-1,49E-06;-1,43E-05;0,000170765;-0,001433218;1,93E-05;3,68E-05;-8,33E-07;-0,000113355;0,000339666;-0,002768134;6,22E-05;-3,17E-05;3,31E-06;-0,000246948
934;0,000114652;-0,001321672;2,54E-05;2,95E-05;-1,97E-06;-9,98E-05;0,000114652;-0,001321672;2,54E-05;2,95E-05;-1,97E-06;-9,98E-05;5,01E-05;-0,000123302;2,41E-05;-6,00E-07;-1,57E-06;-1,41E-05;0,0001722;-0,001459304;1,47E-05;2,89E-05;-2,10E-07;-0,000115051;0,000339466;-0,002739355;5,42E-05;-4,71E-05;4,13E-06;-0,000244235
935;0,000115321;-0,001341341;2,11E-05;2,20E-05;-1,29E-06;-0,000101537;0,000115321;-0,001341341;2,11E-05;2,20E-05;-1,29E-06;-0,000101537;4,86E-05;-0,000122801;2,39E-05;-6,78E-07;-1,61E-06;-1,40E-05;0,000174112;-0,001478365;1,01E-05;2,11E-05;4,88E-07;-0,000116732;0,000339965;-0,002699361;4,66E-05;-6,15E-05;5,17E-06;-0,000241628
936;0,000116227;-0,001353942;1,73E-05;1,53E-05;-4,61E-07;-0,000103002;0,000116227;-0,001353942;1,73E-05;1,53E-05;-4,61E-07;-0,000103002;4,73E-05;-0,00012225;2,37E-05;-7,40E-07;-1,57E-06;-1,39E-05;0,000176361;-0,001490133;5,92E-06;1,42E-05;1,40E-06;-0,000118156;0,000341039;-0,002648563;3,99E-05;-7,39E-05;6,92E-06;-0,000238682
937;0,000117455;-0,00136138;1,43E-05;1,01E-05;1,21E-06;-0,000104064;0,000117455;-0,00136138;1,43E-05;1,01E-05;1,21E-06;-0,000104064;4,58E-05;-0,000121659;2,36E-05;-7,65E-07;-1,33E-06;-1,37E-05;0,000178925;-0,001496518;2,61E-06;8,69E-06;3,31E-06;-0,000119077;0,000342477;-0,002589576;3,45E-05;-8,36E-05;1,06E-05;-0,000234489
938;0,000126105;-0,001365732;1,12E-05;4,85E-06;2,91E-06;-0,00010633;0,000126105;-0,001365732;1,12E-05;4,85E-06;2,91E-06;-0,00010633;4,25E-05;-0,000120757;2,35E-05;-6,74E-07;-1,80E-06;-1,26E-05;0,000191145;-0,001498006;-1,15E-06;2,87E-06;5,32E-06;-0,000120635;0,000355233;-0,002430104;2,85E-05;-9,38E-05;3,94E-06;-0,00022555
939;0,000103451;-0,000631511;4,40E-05;5,16E-05;-1,01E-05;-9,84E-05;0,000103451;-0,000631511;4,40E-05;5,16E-05;-1,01E-05;-9,84E-05;5,16E-05;-5,16E-05;1,81E-05;-4,55E-07;-3,09E-06;-2,36E-05;0,000145292;-0,000692037;4,21E-05;5,12E-05;-1,10E-05;-0,000123208;0,000309474;-0,001698009;0,000102241;4,96E-05;-1,76E-05;-0,000320818
940;0,000106118;-0,000530152;4,62E-05;5,45E-05;-2,59E-06;-8,25E-05;0,000106118;-0,000530152;4,62E-05;5,45E-05;-2,59E-06;-8,25E-05;5,53E-05;-5,18E-05;1,90E-05;4,07E-07;-3,75E-06;-1,89E-05;0,000147267;-0,000591118;4,48E-05;5,45E-05;-3,58E-06;-0,000102155;0,000322247;-0,001599763;0,00010867;5,94E-05;-1,44E-05;-0,000289346
941;0,000102931;-0,000671995;4,28E-05;4,97E-05;-7,04E-06;-0,000103428;0,000102931;-0,000671995;4,28E-05;4,97E-05;-7,04E-06;-0,000103428;5,10E-05;-5,11E-05;1,78E-05;-7,02E-07;-1,27E-06;-2,42E-05;0,000145949;-0,000732091;4,07E-05;4,91E-05;-5,96E-06;-0,000128966;0,000306855;-0,001732901;9,83E-05;4,26E-05;-6,47E-06;-0,000324979
942;0,000103536;-0,000711369;4,15E-05;4,74E-05;-5,30E-06;-0,000107995;0,000103536;-0,000711369;4,15E-05;4,74E-05;-5,30E-06;-0,000107995;5,08E-05;-5,05E-05;1,77E-05;-7,80E-07;-5,72E-07;-2,45E-05;0,000148184;-0,00077096;3,94E-05;4,68E-05;-3,46E-06;-0,000133778;0,00030806;-0,001762962;9,41E-05;3,41E-05;-1,28E-06;-0,000327956
943;0,000104872;-0,000748802;4,01E-05;4,47E-05;-4,33E-06;-0,000112358;0,000104872;-0,000748802;4,01E-05;4,47E-05;-4,33E-06;-0,000112358;5,07E-05;-4,98E-05;1,78E-05;-6,96E-07;-4,82E-07;-2,47E-05;0,000151346;-0,000807907;3,80E-05;4,42E-05;-2,37E-06;-0,00013834;0,000311591;-0,00178589;8,96E-05;2,46E-05;8,90E-07;-0,000331043
944;0,000105881;-0,000783972;3,84E-05;4,16E-05;-3,66E-06;-0,000115949;0,000105881;-0,000783972;3,84E-05;4,16E-05;-3,66E-06;-0,000115949;5,05E-05;-4,93E-05;1,79E-05;-5,17E-07;-6,44E-07;-2,48E-05;0,000154034;-0,000842699;3,65E-05;4,12E-05;-1,83E-06;-0,000142051;0,000314222;-0,001800827;8,49E-05;1,41E-05;1,85E-06;-0,000332433
945;0,000106652;-0,000816474;3,65E-05;3,78E-05;-3,11E-06;-0,000118959;0,000106652;-0,000816474;3,65E-05;3,78E-05;-3,11E-06;-0,000118959;4,99E-05;-4,90E-05;1,81E-05;-2,83E-07;-8,93E-07;-2,48E-05;0,00015624;-0,000874974;3,48E-05;3,76E-05;-1,49E-06;-0,000145114;0,000315986;-0,0018072;8,00E-05;3,21E-06;2,29E-06;-0,000332603
946;0,000107034;-0,00084583;3,43E-05;3,35E-05;-2,57E-06;-0,000121291;0,000107034;-0,00084583;3,43E-05;3,35E-05;-2,57E-06;-0,000121291;4,91E-05;-4,88E-05;1,83E-05;-2,67E-08;-1,16E-06;-2,48E-05;0,000157787;-0,000904274;3,27E-05;3,35E-05;-1,18E-06;-0,00014744;0,000316414;-0,00180543;7,53E-05;-7,61E-06;2,59E-06;-0,00033136
947;0,000107047;-0,000871499;3,17E-05;2,84E-05;-1,99E-06;-0,00012295;0,000107047;-0,000871499;3,17E-05;2,84E-05;-1,99E-06;-0,00012295;4,79E-05;-4,89E-05;1,85E-05;2,18E-07;-1,39E-06;-2,47E-05;0,000158613;-0,00093005;3,02E-05;2,86E-05;-8,24E-07;-0,000148963;0,00031535;-0,001796253;7,05E-05;-1,84E-05;3,07E-06;-0,000328509
948;0,000106954;-0,000892242;2,88E-05;2,28E-05;-1,43E-06;-0,000124129;0,000106954;-0,000892242;2,88E-05;2,28E-05;-1,43E-06;-0,000124129;4,64E-05;-4,92E-05;1,87E-05;4,21E-07;-1,55E-06;-2,44E-05;0,00015904;-0,000951019;2,74E-05;2,31E-05;-4,00E-07;-0,000149903;0,000313346;-0,001778969;6,56E-05;-2,91E-05;3,93E-06;-0,000324383
949;0,000106598;-0,00090733;2,57E-05;1,71E-05;-8,26E-07;-0,000124737;0,000106598;-0,00090733;2,57E-05;1,71E-05;-8,26E-07;-0,000124737;4,48E-05;-4,97E-05;1,87E-05;5,47E-07;-1,46E-06;-2,41E-05;0,000159013;-0,000966382;2,44E-05;1,74E-05;3,15E-07;-0,000150165;0,000310335;-0,001753264;6,09E-05;-3,93E-05;5,83E-06;-0,000318568
950;0,000107399;-0,000916992;2,29E-05;1,19E-05;1,03E-07;-0,000125845;0,000107399;-0,000916992;2,29E-05;1,19E-05;1,03E-07;-0,000125845;4,33E-05;-5,02E-05;1,87E-05;5,42E-07;-7,59E-07;-2,38E-05;0,000160326;-0,00097626;2,13E-05;1,21E-05;1,94E-06;-0,000150878;0,000309554;-0,001719619;5,61E-05;-4,87E-05;1,03E-05;-0,000313049
951;0,000110045;-0,000922125;2,04E-05;7,72E-06;2,21E-06;-0,000127665;0,000110045;-0,000922125;2,04E-05;7,72E-06;2,21E-06;-0,000127665;4,23E-05;-5,06E-05;1,86E-05;4,04E-07;1,13E-06;-2,31E-05;0,000163979;-0,000981433;1,86E-05;7,57E-06;5,83E-06;-0,000151962;0,000312808;-0,001679149;5,18E-05;-5,66E-05;1,98E-05;-0,000307101
952;0,000116234;-0,000924952;1,74E-05;3,01E-06;4,47E-06;-0,000125415;0,000116234;-0,000924952;1,74E-05;3,01E-06;4,47E-06;-0,000125415;4,19E-05;-5,11E-05;1,81E-05;-5,60E-08;1,21E-06;-1,80E-05;0,000174515;-0,000983155;1,46E-05;1,88E-06;8,56E-06;-0,000144951;0,000324978;-0,001567085;4,48E-05;-6,74E-05;1,32E-05;-0,000275248
953;8,44E-05;-0,000273192;4,13E-05;3,26E-05;-1,01E-06;-8,67E-05;8,44E-05;-0,000273192;4,13E-05;3,26E-05;-1,01E-06;-8,67E-05;4,10E-05;9,44E-06;1,24E-05;2,83E-07;3,62E-06;-8,02E-06;0,000119283;-0,000267017;4,44E-05;3,27E-05;3,18E-06;-9,66E-05;0,000253665;-0,000691282;9,44E-05;4,62E-05;1,26E-05;-0,000272687
954;7,99E-05;-0,00020525;4,44E-05;3,67E-05;5,08E-07;-7,55E-05;7,99E-05;-0,00020525;4,44E-05;3,67E-05;5,08E-07;-7,55E-05;3,87E-05;1,20E-05;1,37E-05;1,90E-06;-4,52E-07;-9,58E-06;0,000110682;-0,000197305;4,84E-05;3,79E-05;1,57E-06;-8,58E-05;0,000246864;-0,000592621;0,000103808;6,05E-05;-6,44E-06;-0,000258412
955;9,01E-05;-0,000299274;4,08E-05;3,12E-05;1,81E-06;-9,05E-05;9,01E-05;-0,000299274;4,08E-05;3,12E-05;1,81E-06;-9,05E-05;4,34E-05;9,09E-06;1,25E-05;1,76E-07;4,00E-06;-7,10E-06;0,000128071;-0,000293329;4,40E-05;3,12E-05;6,84E-06;-9,95E-05;0,000268956;-0,000725035;9,26E-05;4,08E-05;2,36E-05;-0,000271731
956;9,51E-05;-0,000324441;4,04E-05;2,96E-05;1,16E-06;-9,35E-05;9,51E-05;-0,000324441;4,04E-05;2,96E-05;1,16E-06;-9,35E-05;4,55E-05;8,78E-06;1,27E-05;2,17E-07;3,14E-06;-6,26E-06;0,000136136;-0,000318714;4,39E-05;2,97E-05;5,65E-06;-0,000101689;0,000282879;-0,000755105;9,11E-05;3,47E-05;2,18E-05;-0,000268271
957;9,81E-05;-0,00034807;3,97E-05;2,74E-05;-7,16E-07;-9,59E-05;9,81E-05;-0,00034807;3,97E-05;2,74E-05;-7,16E-07;-9,59E-05;4,66E-05;8,48E-06;1,30E-05;2,19E-07;1,98E-06;-5,36E-06;0,000141534;-0,000342572;4,35E-05;2,75E-05;2,86E-06;-0,000103331;0,000291103;-0,000779701;8,87E-05;2,65E-05;1,60E-05;-0,000262844
958;0,000100356;-0,000369696;3,87E-05;2,46E-05;-2,82E-06;-9,92E-05;0,000100356;-0,000369696;3,87E-05;2,46E-05;-2,82E-06;-9,92E-05;4,70E-05;8,23E-06;1,32E-05;1,81E-07;8,23E-07;-4,72E-06;0,000145607;-0,000364392;4,27E-05;2,47E-05;-2,03E-07;-0,000105984;0,00029681;-0,000796566;8,55E-05;1,69E-05;9,79E-06;-0,000259382
959;0,000101709;-0,000388855;3,73E-05;2,13E-05;-4,80E-06;-0,000103076;0,000101709;-0,000388855;3,73E-05;2,13E-05;-4,80E-06;-0,000103076;4,69E-05;8,07E-06;1,35E-05;1,02E-07;-2,73E-07;-4,42E-06;0,000148358;-0,000383674;4,16E-05;2,13E-05;-3,15E-06;-0,000109641;0,000299796;-0,000805534;8,20E-05;6,43E-06;3,69E-06;-0,000257613
960;0,000102326;-0,000405092;3,57E-05;1,73E-05;-6,59E-06;-0,000107674;0,000102326;-0,000405092;3,57E-05;1,73E-05;-6,59E-06;-0,000107674;4,62E-05;8,03E-06;1,36E-05;-4,71E-12;-1,32E-06;-4,37E-06;0,000149841;-0,000399939;4,02E-05;1,73E-05;-5,93E-06;-0,000114198;0,00030026;-0,000805947;7,84E-05;-4,21E-06;-2,35E-06;-0,000257583
961;0,000102158;-0,000417989;3,37E-05;1,29E-05;-8,17E-06;-0,000112774;0,000102158;-0,000417989;3,37E-05;1,29E-05;-8,17E-06;-0,000112774;4,51E-05;8,12E-06;1,38E-05;-9,06E-08;-2,35E-06;-4,65E-06;0,000150062;-0,000412769;3,85E-05;1,28E-05;-8,56E-06;-0,000119556;0,000298137;-0,000798945;7,49E-05;-1,45E-05;-8,53E-06;-0,000259292
962;0,000101079;-0,000426863;3,15E-05;7,90E-06;-9,59E-06;-0,000118132;0,000101079;-0,000426863;3,15E-05;7,90E-06;-9,59E-06;-0,000118132;4,35E-05;8,31E-06;1,41E-05;-1,47E-07;-3,39E-06;-5,25E-06;0,000148822;-0,000421498;3,65E-05;7,79E-06;-1,11E-05;-0,000125463;0,000293094;-0,00078449;7,17E-05;-2,45E-05;-1,48E-05;-0,000262539
963;9,95E-05;-0,000430309;2,93E-05;2,98E-06;-1,07E-05;-0,000123998;9,95E-05;-0,000430309;2,93E-05;2,98E-06;-1,07E-05;-0,000123998;4,13E-05;8,56E-06;1,43E-05;-1,53E-07;-4,40E-06;-6,12E-06;0,000146386;-0,000424742;3,46E-05;2,88E-06;-1,33E-05;-0,000132104;0,000285543;-0,000761822;6,89E-05;-3,34E-05;-2,05E-05;-0,000267778
964;9,59E-05;-0,000429481;2,74E-05;-1,33E-06;-1,01E-05;-0,000128662;9,59E-05;-0,000429481;2,74E-05;-1,33E-06;-1,01E-05;-0,000128662;3,84E-05;8,82E-06;1,46E-05;-1,08E-07;-5,08E-06;-7,04E-06;0,000140892;-0,000423702;3,30E-05;-1,37E-06;-1,36E-05;-0,000137468;0,000272173;-0,000732794;6,68E-05;-4,07E-05;-2,23E-05;-0,000270924
965;9,19E-05;-0,00042427;2,56E-05;-5,02E-06;-4,24E-06;-0,000131619;9,19E-05;-0,00042427;2,56E-05;-5,02E-06;-4,24E-06;-0,000131619;3,52E-05;9,11E-06;1,47E-05;-1,66E-07;-4,49E-06;-7,94E-06;0,000134498;-0,000418206;3,13E-05;-5,19E-06;-7,36E-06;-0,000141092;0,000256818;-0,000697596;6,44E-05;-4,72E-05;-1,09E-05;-0,000270884
966;9,59E-05;-0,000401606;2,13E-05;-1,12E-05;6,97E-06;-0,000128166;9,59E-05;-0,000401606;2,13E-05;-1,12E-05;6,97E-06;-0,000128166;3,09E-05;1,11E-05;1,38E-05;-1,35E-06;-1,07E-06;-8,97E-06;0,000136723;-0,000393033;2,56E-05;-1,31E-05;7,73E-06;-0,000138793;0,000250717;-0,000594536;5,45E-05;-6,26E-05;7,60E-06;-0,000254566
967;7,36E-05;-9,81E-05;4,60E-05;2,49E-05;9,78E-06;-5,07E-05;7,36E-05;-9,81E-05;4,60E-05;2,49E-05;9,78E-06;-5,07E-05;3,53E-05;8,43E-06;1,32E-05;3,69E-06;8,53E-06;9,27E-06;0,000104243;-8,85E-05;5,40E-05;2,77E-05;1,75E-05;-4,33E-05;0,00022062;-0,000229899;0,000107777;5,77E-05;4,74E-05;-0,000140932
968;3,95E-05;-4,15E-05;4,86E-05;2,86E-05;1,12E-05;-4,16E-05;3,95E-05;-4,15E-05;4,86E-05;2,86E-05;1,12E-05;-4,16E-05;1,81E-05;1,88E-05;1,43E-05;5,14E-06;4,15E-06;8,28E-06;5,43E-05;-2,40E-05;5,74E-05;3,25E-05;1,58E-05;-3,41E-05;0,000122373;-0,000105443;0,000115872;7,10E-05;3,00E-05;-0,000129013
969;8,54E-05;-0,000118317;4,57E-05;2,36E-05;6,00E-06;-5,52E-05;8,54E-05;-0,000118317;4,57E-05;2,36E-05;6,00E-06;-5,52E-05;4,09E-05;5,39E-06;1,34E-05;3,48E-06;6,01E-06;9,58E-06;0,000121704;-0,000111051;5,39E-05;2,63E-05;1,22E-05;-4,78E-05;0,000255045;-0,000271473;0,000107298;5,35E-05;3,57E-05;-0,000144644
970;9,02E-05;-0,000136759;4,43E-05;2,08E-05;2,08E-06;-5,67E-05;9,02E-05;-0,000136759;4,43E-05;2,08E-05;2,08E-06;-5,67E-05;4,32E-05;2,84E-06;1,31E-05;2,82E-06;3,62E-06;1,10E-05;0,000129486;-0,000131542;5,23E-05;2,30E-05;6,63E-06;-4,82E-05;0,000268175;-0,00030788;0,000103254;4,44E-05;2,26E-05;-0,00013757
