NODES_1;U1_1;U2_1;U3_1;R1_2;R2_2;R3_2;U1_2;U2_2;U3_2;R1_2;R2_2;R3_2;U1_3;U2_3;U3_3;R1_3;R2_3;R3_3;U1_4;U2_4;U3_4;R1_4;R2_4;R3_4;U1_5;U2_5;U3_5;R1_5;R2_5;R3_5
48;0,000232271;-0,001731381;5,89E-05;1,40E-05;-4,98E-06;6,97E-05;0,000232271;-0,001731381;5,89E-05;1,40E-05;-4,98E-06;6,97E-05;0,000151294;-0,001196567;0,000126744;2,69E-05;1,46E-06;-6,28E-05;0,000397905;-0,002570346;-9,11E-05;-4,67E-05;3,86E-06;3,13E-05;0,000798107;-0,005001246;-2,94E-05;-0,000136419;-1,24E-06;1,31E-05
49;0,000229326;-0,001850261;5,61E-05;1,38E-05;-2,10E-06;3,90E-05;0,000229326;-0,001850261;5,61E-05;1,38E-05;-2,10E-06;3,90E-05;0,000144062;-0,00106427;0,000123988;2,54E-05;-1,07E-06;-5,67E-05;0,000388795;-0,002607272;-8,72E-05;-3,79E-05;-2,16E-08;4,22E-06;0,000778335;-0,004982881;-2,68E-05;-0,000137328;2,08E-07;-2,93E-05
50;0,000224331;-0,00194557;5,32E-05;1,52E-05;-7,02E-07;2,38E-05;0,000224331;-0,00194557;5,32E-05;1,52E-05;-7,02E-07;2,38E-05;0,000130294;-0,000907694;0,000117707;2,01E-05;-1,78E-06;-4,70E-05;0,000373656;-0,002605714;-8,35E-05;-2,80E-05;1,33E-06;-4,82E-06;0,000742125;-0,004890198;-2,20E-05;-0,000139074;2,34E-06;-4,06E-05
51;0,000211624;-0,002009144;4,84E-05;1,57E-05;-1,98E-07;2,99E-05;0,000211624;-0,002009144;4,84E-05;1,57E-05;-1,98E-07;2,99E-05;0,000123773;-0,000800566;0,000111786;1,65E-05;-4,33E-06;-4,20E-05;0,000356042;-0,002603241;-8,14E-05;-2,13E-05;4,44E-06;4,16E-06;0,000706994;-0,004823137;-2,15E-05;-0,00013983;-6,20E-07;-2,09E-05
52;0,000200312;-0,002133814;4,56E-05;2,49E-05;-2,01E-06;3,36E-05;0,000200312;-0,002133814;4,56E-05;2,49E-05;-2,01E-06;3,36E-05;0,000110611;-0,000648825;0,000101369;1,13E-05;-4,21E-06;-3,80E-05;0,000334111;-0,002634306;-7,23E-05;-3,73E-06;2,66E-06;1,05E-05;0,000660117;-0,004779682;-1,34E-05;-0,000128733;-3,04E-06;-8,64E-06
53;0,000192671;-0,002189032;4,63E-05;2,93E-05;-1,07E-06;6,98E-06;0,000192671;-0,002189032;4,63E-05;2,93E-05;-1,07E-06;6,98E-06;0,000103462;-0,000547973;9,24E-05;8,39E-06;-2,81E-06;-3,36E-05;0,000319533;-0,00262643;-6,26E-05;6,39E-06;1,66E-06;-1,43E-05;0,000630185;-0,004708277;-7,03E-06;-0,00012001;2,90E-07;-4,62E-05
54;0,000186884;-0,002186684;4,81E-05;4,19E-05;-5,56E-07;-8,00E-06;0,000186884;-0,002186684;4,81E-05;4,19E-05;-5,56E-07;-8,00E-06;9,47E-05;-0,000452364;8,35E-05;5,46E-06;-2,45E-06;-2,98E-05;0,000305501;-0,002563076;-5,06E-05;2,43E-05;2,55E-06;-2,69E-05;0,00060047;-0,004552626;4,33E-06;-9,52E-05;2,38E-06;-6,97E-05
55;0,000176718;-0,002148446;4,14E-05;3,26E-05;-1,50E-06;-1,76E-05;0,000176718;-0,002148446;4,14E-05;3,26E-05;-1,50E-06;-1,76E-05;8,63E-05;-0,000367356;7,64E-05;2,93E-06;-2,22E-06;-2,65E-05;0,000287458;-0,00247052;-4,57E-05;1,95E-05;1,93E-06;-3,43E-05;0,000563448;-0,004348216;7,13E-06;-0,000106359;1,55E-06;-8,39E-05
56;0,000165446;-0,002120328;3,38E-05;3,03E-05;-2,67E-06;-3,49E-06;0,000165446;-0,002120328;3,38E-05;3,03E-05;-2,67E-06;-3,49E-06;7,86E-05;-0,000302028;7,01E-05;8,05E-07;-3,27E-06;-2,34E-05;0,000269497;-0,002399917;-4,30E-05;2,07E-05;1,68E-06;-1,89E-05;0,000526247;-0,004188653;6,89E-06;-0,0001069;-4,11E-07;-5,34E-05
57;0,000152897;-0,002032829;3,03E-05;2,97E-05;2,46E-06;-4,26E-05;0,000152897;-0,002032829;3,03E-05;2,97E-05;2,46E-06;-4,26E-05;6,89E-05;-0,000223569;6,04E-05;-9,66E-07;-3,21E-06;-1,72E-05;0,000246868;-0,00225945;-3,19E-05;2,44E-05;6,11E-06;-5,43E-05;0,000480263;-0,003910259;1,58E-05;-9,83E-05;9,12E-06;-0,000110835
58;0,000138224;-0,001961127;3,29E-05;3,15E-05;-3,89E-07;-1,33E-05;0,000138224;-0,001961127;3,29E-05;3,15E-05;-3,89E-07;-1,33E-05;6,29E-05;-0,000190564;5,17E-05;-1,79E-06;-2,97E-06;-8,25E-06;0,0002259;-0,002164606;-2,06E-05;2,76E-05;2,76E-06;-1,93E-05;0,000439347;-0,003739435;2,63E-05;-8,90E-05;1,66E-06;-3,93E-05
59;0,000126516;-0,001915698;3,16E-05;4,02E-05;-1,58E-06;-1,63E-05;0,000126516;-0,001915698;3,16E-05;4,02E-05;-1,58E-06;-1,63E-05;5,65E-05;-0,000173844;4,32E-05;-2,14E-06;-2,47E-06;-2,84E-06;0,000206929;-0,002107235;-1,12E-05;3,76E-05;1,79E-06;-1,82E-05;0,000402129;-0,003638918;3,34E-05;-6,86E-05;3,61E-07;-3,54E-05
60;0,000121917;-0,001841989;2,39E-05;2,70E-05;-1,15E-06;-3,33E-05;0,000121917;-0,001841989;2,39E-05;2,70E-05;-1,15E-06;-3,33E-05;5,13E-05;-0,000166016;3,69E-05;-2,45E-06;-2,20E-06;-2,42E-06;0,000194856;-0,002026939;-7,43E-06;2,44E-05;2,02E-06;-3,57E-05;0,000377563;-0,003497998;3,36E-05;-8,67E-05;9,54E-07;-7,16E-05
61;0,000121822;-0,001698142;1,46E-05;2,08E-05;-1,78E-06;-7,02E-05;0,000121822;-0,001698142;1,46E-05;2,08E-05;-1,78E-06;-7,02E-05;4,87E-05;-0,000156111;3,05E-05;-2,51E-06;-3,03E-06;-4,69E-06;0,000189691;-0,001872057;-8,40E-06;1,81E-05;-5,40E-07;-7,57E-05;0,000365077;-0,003232877;2,70E-05;-8,99E-05;-4,08E-07;-0,000144253
62;0,000117455;-0,00136138;1,43E-05;1,01E-05;1,21E-06;-0,000104064;0,000117455;-0,00136138;1,43E-05;1,01E-05;1,21E-06;-0,000104064;4,58E-05;-0,000121659;2,36E-05;-7,65E-07;-1,33E-06;-1,37E-05;0,000178925;-0,001496518;2,61E-06;8,69E-06;3,31E-06;-0,000119077;0,000342477;-0,002589576;3,45E-05;-8,36E-05;1,06E-05;-0,000234489
