x;y1;y2
0,2256;-0,019607497;-0,144591876
0,2268;-0,094266875;-0,156769574
0,228;-0,258137644;-0,090311822
0,2292;-0,140144484;0,01809158
0,2304;-0,181586155;0,050381012
0,2316;-0,136116176;0,097878841
0,2328;0,04246692;0,167137746
0,234;-0,098613921;0,129684382
0,2352;0,022514089;0,106988749
0,2364;0,198727024;0,043400809
0,2376;-0,002341793;-0,088243466
0,2388;0,082578365;-0,069649991
0,24;0,052963052;-0,103436823
0,2412;-0,033297643;-0,130952629
0,2424;0,067392349;0,027467369
0,2436;-0,325421524;0,018552127
0,2448;-0,235973314;-0,006104422
0,246;0,020927189;0,123455117
0,2472;-0,465345069;0,113505093
0,2484;-0,306641093;0,056123271
0,2496;-0,006255328;0,045053948
0,2508;-0,159662112;0,034695589
0,252;0,097807737;0,006681021
0,2532;0,109996301;-0,075822865
0,2544;0,00105174;-0,049363785
0,2556;0,222331983;0,049624466
0,2568;0,087600875;0,060808931
0,258;-0,101024288;0,031449107
0,2592;-0,001576494;0,072382112
0,2604;-0,035152048;0,152412601
0,2616;-0,166249062;0,02257522
0,2628;-0,081059474;-0,048367913
0,264;-0,092662442;0,099420237
0,2652;-0,074006355;0,06183512
0,2664;0,043731622;0,022447611
0,2676;-0,139773277;0,047028466
0,2688;-0,068101161;0,002091686
0,27;0,123527038;0,021562117
0,2712;0,036835194;-0,017105777
0,2724;0,088306324;-0,02340821
0,2736;0,147020365;0,071086188
0,2748;0,146433694;0,084672262
0,276;0,075593697;0,046302372
0,2772;-0,022262959;0,041030083
0,2784;0,032208761;0,038198526
0,2796;-0,088972042;-0,017253263
0,2808;-0,207023834;-0,076194085
0,282;-0,212531703;-0,108611889
0,2832;-0,087710067;-0,112030719
0,2844;-0,027583251;-0,113374022
0,2856;-0,321327302;-0,13526061
0,2868;-0,145926397;-0,182580652
0,288;0,029970895;-0,196204456
0,2892;-0,108931497;-0,068834186
0,2904;0,124886129;-0,001916835
0,2916;0,281945864;0,028325851
0,2928;0,356525522;0,165467115
0,294;0,331184406;0,210186044
0,2952;0,167221232;0,229613875
0,2964;0,103752248;0,271711971
0,2976;0,116715648;0,206005606
0,2988;0,123258226;0,126910268
0,3;0,051060482;0,110478009
0,3012;0,065142935;0,013106812
0,3024;-0,030662653;-0,140520712
0,3036;-0,09790338;-0,191860295
0,3048;-0,122555344;-0,232621397
0,306;-0,124050316;-0,289963943
0,3072;0,064746583;-0,299394338
0,3084;0,092658634;-0,224037876
0,3096;0,078745958;-0,116170217
0,3108;0,103185113;-0,050689907
0,312;0,184976325;0,024982909
0,3132;0,101773787;0,092833006
0,3144;0,016499061;0,205714035
0,3156;0,104528926;0,279935681
0,3168;-0,112237927;0,206514676
0,318;-0,056688443;0,166099883
0,3192;-0,040163853;0,122987755
0,3204;-0,290784114;-0,023113279
0,3216;-0,140432451;-0,120322029
0,3228;-0,124011792;-0,078817386
0,324;-0,153047328;-0,016604465
0,3252;0,026532298;-0,028606456
0,3264;0,111547585;-0,037998091
0,3276;0,054872596;0,006153691
0,3288;-0,027048378;0,023416754
0,33;-0,05063747;-0,005929327
0,3312;-0,144647675;-0,016999682
0,3324;-0,098478435;-0,017114719
0,3336;-0,112405134;-0,022078428
0,3348;-0,210512148;-0,051578466
0,336;-7,46E-05;-0,036378555
0,3372;-0,087083527;0,026622096
0,3384;-0,293046593;-0,017242774
0,3396;-0,116676408;-0,032604675
0,3408;-0,071707656;0,01349263
0,342;-0,050975799;-0,000284663
0,3432;-0,033641734;0,026919823
0,3444;-0,054940175;0,023711697
0,3456;0,095825427;-0,012083854
0,3468;0,071157263;0,039068279
0,348;-0,03204293;0,06017776
0,3492;0,030297274;0,010626767
0,3504;0,074209856;-0,010396156
0,3516;0,018382349;-0,003917792
0,3528;-0,042792614;-0,032812295
0,354;0,020730485;-0,097255237
0,3552;-0,033503131;-0,091453123
0,3564;-0,088768023;-0,005250846
0,3576;0,048465606;-0,01981761
0,3588;-0,018960676;-0,11291748
0,36;-0,065720438;-0,077560807
0,3612;-0,015546222;0,015894406
0,3624;-0,112730249;0,004319834
0,3636;-0,126454668;0,030979273
0,3648;-0,132377718;0,1570588
0,366;-0,048512995;0,183414369
0,3672;0,138717305;0,144817947
0,3684;0,109934017;0,16782957
0,3696;0,155481624;0,20905466
0,3708;0,25034113;0,162269377
0,372;0,102893538;0,090925046
0,3732;0,026369271;0,148455755
0,3744;0,119644124;0,16426693
0,3756;0,136854147;0,094346119
0,3768;0,148664594;0,014182223
0,378;0,128713665;-0,114300317
0,3792;-0,101855031;-0,120103851
0,3804;-0,073078189;-0,10587522
0,3816;0,013182186;-0,211846281
0,3828;-0,171490872;-0,207704714
0,384;-0,023062676;-0,108897468
0,3852;0,141798212;-0,108095955
0,3864;0,104828203;-0,108405842
0,3876;0,246676954;0,009399414
0,3888;0,287494169;0,085545782
